accession,read_filtering,virus_id,n_reads,covered_bases
CRR710784,all mapped reads,OM451122.1,0,0
CRR710784,all mapped reads,OM451123.1,0,0
CRR710784,all mapped reads,MT114540.1,0,0
CRR710784,all mapped reads,MT114541.1,0,0
CRR710785,mapping quality filtered,OM451122.1,0,0
CRR710785,mapping quality filtered,OM451123.1,0,0
CRR710785,mapping quality filtered,MT114540.1,0,0
CRR710785,mapping quality filtered,MT114541.1,0,0
CRR710785,all mapped reads,OM451122.1,0,0
CRR710785,all mapped reads,OM451123.1,0,0
CRR710785,all mapped reads,MT114540.1,0,0
CRR710785,all mapped reads,MT114541.1,0,0
CRR710786,mapping quality filtered,OM451122.1,0,0
CRR710786,mapping quality filtered,OM451123.1,0,0
CRR710786,mapping quality filtered,MT114540.1,0,0
CRR710786,mapping quality filtered,MT114541.1,0,0
CRR710786,all mapped reads,OM451122.1,0,0
CRR710786,all mapped reads,OM451123.1,0,0
CRR710786,all mapped reads,MT114540.1,0,0
CRR710786,all mapped reads,MT114541.1,0,0
CRR710787,mapping quality filtered,OM451122.1,0,0
CRR710787,mapping quality filtered,OM451123.1,0,0
CRR710787,mapping quality filtered,MT114540.1,0,0
CRR710787,mapping quality filtered,MT114541.1,0,0
CRR710787,all mapped reads,OM451122.1,0,0
CRR710787,all mapped reads,OM451123.1,0,0
CRR710787,all mapped reads,MT114540.1,0,0
CRR710787,all mapped reads,MT114541.1,0,0
CRR710788,mapping quality filtered,OM451122.1,0,0
CRR710788,mapping quality filtered,OM451123.1,0,0
CRR710788,mapping quality filtered,MT114540.1,0,0
CRR710788,mapping quality filtered,MT114541.1,0,0
CRR710788,all mapped reads,OM451122.1,0,0
CRR710788,all mapped reads,OM451123.1,0,0
CRR710788,all mapped reads,MT114540.1,0,0
CRR710788,all mapped reads,MT114541.1,0,0
CRR710789,mapping quality filtered,OM451122.1,0,0
CRR710789,mapping quality filtered,OM451123.1,0,0
CRR710789,mapping quality filtered,MT114540.1,0,0
CRR710789,mapping quality filtered,MT114541.1,0,0
CRR710789,all mapped reads,OM451122.1,0,0
CRR710789,all mapped reads,OM451123.1,0,0
CRR710789,all mapped reads,MT114540.1,0,0
CRR710789,all mapped reads,MT114541.1,0,0
CRR711156,mapping quality filtered,OM451122.1,0,0
CRR711156,mapping quality filtered,OM451123.1,0,0
CRR711156,mapping quality filtered,MT114540.1,0,0
CRR711156,mapping quality filtered,MT114541.1,0,0
CRR711156,all mapped reads,OM451122.1,0,0
CRR711156,all mapped reads,OM451123.1,0,0
CRR711156,all mapped reads,MT114540.1,0,0
CRR711156,all mapped reads,MT114541.1,0,0
CRR710790,mapping quality filtered,OM451122.1,0,0
CRR710790,mapping quality filtered,OM451123.1,0,0
CRR710790,mapping quality filtered,MT114540.1,0,0
CRR710790,mapping quality filtered,MT114541.1,0,0
CRR710790,all mapped reads,OM451122.1,0,0
CRR710790,all mapped reads,OM451123.1,0,0
CRR710790,all mapped reads,MT114540.1,0,0
CRR710790,all mapped reads,MT114541.1,0,0
CRR710791,mapping quality filtered,OM451122.1,0,0
CRR710791,mapping quality filtered,OM451123.1,0,0
CRR710791,mapping quality filtered,MT114540.1,0,0
CRR710791,mapping quality filtered,MT114541.1,0,0
CRR710791,all mapped reads,OM451122.1,0,0
CRR710791,all mapped reads,OM451123.1,0,0
CRR710791,all mapped reads,MT114540.1,0,0
CRR710791,all mapped reads,MT114541.1,0,0
CRR710792,mapping quality filtered,OM451122.1,0,0
CRR710792,mapping quality filtered,OM451123.1,0,0
CRR710792,mapping quality filtered,MT114540.1,0,0
CRR710792,mapping quality filtered,MT114541.1,0,0
CRR710792,all mapped reads,OM451122.1,0,0
CRR710792,all mapped reads,OM451123.1,0,0
CRR710792,all mapped reads,MT114540.1,0,0
CRR710792,all mapped reads,MT114541.1,0,0
CRR710793,mapping quality filtered,OM451122.1,0,0
CRR710793,mapping quality filtered,OM451123.1,0,0
CRR710793,mapping quality filtered,MT114540.1,0,0
CRR710793,mapping quality filtered,MT114541.1,0,0
CRR710793,all mapped reads,OM451122.1,0,0
CRR710793,all mapped reads,OM451123.1,0,0
CRR710793,all mapped reads,MT114540.1,0,0
CRR710793,all mapped reads,MT114541.1,0,0
CRR711157,mapping quality filtered,OM451122.1,0,0
CRR711157,mapping quality filtered,OM451123.1,0,0
CRR711157,mapping quality filtered,MT114540.1,0,0
CRR711157,mapping quality filtered,MT114541.1,0,0
CRR711157,all mapped reads,OM451122.1,0,0
CRR711157,all mapped reads,OM451123.1,0,0
CRR711157,all mapped reads,MT114540.1,0,0
CRR711157,all mapped reads,MT114541.1,0,0
CRR710794,mapping quality filtered,OM451122.1,0,0
CRR710794,mapping quality filtered,OM451123.1,0,0
CRR710794,mapping quality filtered,MT114540.1,0,0
CRR710794,mapping quality filtered,MT114541.1,0,0
CRR710794,all mapped reads,OM451122.1,0,0
CRR710794,all mapped reads,OM451123.1,0,0
CRR710794,all mapped reads,MT114540.1,0,0
CRR710794,all mapped reads,MT114541.1,0,0
CRR710795,mapping quality filtered,OM451122.1,0,0
CRR710795,mapping quality filtered,OM451123.1,0,0
CRR710795,mapping quality filtered,MT114540.1,0,0
CRR710795,mapping quality filtered,MT114541.1,0,0
CRR710795,all mapped reads,OM451122.1,0,0
CRR710795,all mapped reads,OM451123.1,0,0
CRR710795,all mapped reads,MT114540.1,0,0
CRR710795,all mapped reads,MT114541.1,0,0
CRR710796,mapping quality filtered,OM451122.1,0,0
CRR710796,mapping quality filtered,OM451123.1,0,0
CRR710796,mapping quality filtered,MT114540.1,0,0
CRR710796,mapping quality filtered,MT114541.1,0,0
CRR710796,all mapped reads,OM451122.1,0,0
CRR710796,all mapped reads,OM451123.1,0,0
CRR710796,all mapped reads,MT114540.1,0,0
CRR710796,all mapped reads,MT114541.1,0,0
CRR710797,mapping quality filtered,OM451122.1,0,0
CRR710797,mapping quality filtered,OM451123.1,0,0
CRR710797,mapping quality filtered,MT114540.1,0,0
CRR710797,mapping quality filtered,MT114541.1,0,0
CRR710797,all mapped reads,OM451122.1,0,0
CRR710797,all mapped reads,OM451123.1,0,0
CRR710797,all mapped reads,MT114540.1,0,0
CRR710797,all mapped reads,MT114541.1,0,0
CRR711158,mapping quality filtered,OM451122.1,0,0
CRR711158,mapping quality filtered,OM451123.1,0,0
CRR711158,mapping quality filtered,MT114540.1,0,0
CRR711158,mapping quality filtered,MT114541.1,0,0
CRR711158,all mapped reads,OM451122.1,0,0
CRR711158,all mapped reads,OM451123.1,0,0
CRR711158,all mapped reads,MT114540.1,0,0
CRR711158,all mapped reads,MT114541.1,0,0
CRR710798,mapping quality filtered,OM451122.1,0,0
CRR710798,mapping quality filtered,OM451123.1,0,0
CRR710798,mapping quality filtered,MT114540.1,0,0
CRR710798,mapping quality filtered,MT114541.1,0,0
CRR710798,all mapped reads,OM451122.1,0,0
CRR710798,all mapped reads,OM451123.1,0,0
CRR710798,all mapped reads,MT114540.1,0,0
CRR710798,all mapped reads,MT114541.1,0,0
CRR710799,mapping quality filtered,OM451122.1,0,0
CRR710799,mapping quality filtered,OM451123.1,0,0
CRR710799,mapping quality filtered,MT114540.1,0,0
CRR710799,mapping quality filtered,MT114541.1,0,0
CRR710799,all mapped reads,OM451122.1,0,0
CRR710799,all mapped reads,OM451123.1,0,0
CRR710799,all mapped reads,MT114540.1,0,0
CRR710799,all mapped reads,MT114541.1,0,0
CRR710800,mapping quality filtered,OM451122.1,0,0
CRR710800,mapping quality filtered,OM451123.1,0,0
CRR710800,mapping quality filtered,MT114540.1,0,49
CRR710800,mapping quality filtered,MT114541.1,0,0
CRR710800,all mapped reads,OM451122.1,0,42
CRR710800,all mapped reads,OM451123.1,0,46
CRR710800,all mapped reads,MT114540.1,0,89
CRR710800,all mapped reads,MT114541.1,1,46
CRR710801,mapping quality filtered,OM451122.1,0,0
CRR710801,mapping quality filtered,OM451123.1,0,0
CRR710801,mapping quality filtered,MT114540.1,0,0
CRR710801,mapping quality filtered,MT114541.1,0,0
CRR710801,all mapped reads,OM451122.1,0,0
CRR710801,all mapped reads,OM451123.1,0,0
CRR710801,all mapped reads,MT114540.1,0,0
CRR710801,all mapped reads,MT114541.1,0,0
CRR711159,mapping quality filtered,OM451122.1,0,0
CRR711159,mapping quality filtered,OM451123.1,0,0
CRR711159,mapping quality filtered,MT114540.1,0,0
CRR711159,mapping quality filtered,MT114541.1,0,0
CRR711159,all mapped reads,OM451122.1,0,0
CRR711159,all mapped reads,OM451123.1,0,0
CRR711159,all mapped reads,MT114540.1,0,0
CRR711159,all mapped reads,MT114541.1,0,0
CRR710802,mapping quality filtered,OM451122.1,0,0
CRR710802,mapping quality filtered,OM451123.1,0,0
CRR710802,mapping quality filtered,MT114540.1,0,0
CRR710802,mapping quality filtered,MT114541.1,0,0
CRR710802,all mapped reads,OM451122.1,0,0
CRR710802,all mapped reads,OM451123.1,0,0
CRR710802,all mapped reads,MT114540.1,0,0
CRR710802,all mapped reads,MT114541.1,0,0
CRR710803,mapping quality filtered,OM451122.1,0,0
CRR710803,mapping quality filtered,OM451123.1,0,0
CRR710803,mapping quality filtered,MT114540.1,0,0
CRR710803,mapping quality filtered,MT114541.1,0,0
CRR710803,all mapped reads,OM451122.1,0,0
CRR710803,all mapped reads,OM451123.1,0,0
CRR710803,all mapped reads,MT114540.1,0,0
CRR710803,all mapped reads,MT114541.1,0,0
CRR710804,mapping quality filtered,OM451122.1,0,0
CRR710804,mapping quality filtered,OM451123.1,0,0
CRR710804,mapping quality filtered,MT114540.1,0,0
CRR710804,mapping quality filtered,MT114541.1,0,0
CRR710804,all mapped reads,OM451122.1,0,0
CRR710804,all mapped reads,OM451123.1,0,0
CRR710804,all mapped reads,MT114540.1,0,0
CRR710804,all mapped reads,MT114541.1,0,0
CRR710805,mapping quality filtered,OM451122.1,0,0
CRR710805,mapping quality filtered,OM451123.1,0,0
CRR710805,mapping quality filtered,MT114540.1,0,0
CRR710805,mapping quality filtered,MT114541.1,0,0
CRR710805,all mapped reads,OM451122.1,0,0
CRR710805,all mapped reads,OM451123.1,0,0
CRR710805,all mapped reads,MT114540.1,0,0
CRR710805,all mapped reads,MT114541.1,0,0
CRR710806,mapping quality filtered,OM451122.1,0,0
CRR710806,mapping quality filtered,OM451123.1,0,0
CRR710806,mapping quality filtered,MT114540.1,0,0
CRR710806,mapping quality filtered,MT114541.1,0,0
CRR710806,all mapped reads,OM451122.1,0,0
CRR710806,all mapped reads,OM451123.1,0,0
CRR710806,all mapped reads,MT114540.1,0,0
CRR710806,all mapped reads,MT114541.1,0,0
CRR710807,mapping quality filtered,OM451122.1,0,0
CRR710807,mapping quality filtered,OM451123.1,0,0
CRR710807,mapping quality filtered,MT114540.1,0,0
CRR710807,mapping quality filtered,MT114541.1,0,0
CRR710807,all mapped reads,OM451122.1,0,0
CRR710807,all mapped reads,OM451123.1,0,0
CRR710807,all mapped reads,MT114540.1,0,0
CRR710807,all mapped reads,MT114541.1,0,0
CRR711160,mapping quality filtered,OM451122.1,0,0
CRR711160,mapping quality filtered,OM451123.1,0,0
CRR711160,mapping quality filtered,MT114540.1,0,0
CRR711160,mapping quality filtered,MT114541.1,0,0
CRR711160,all mapped reads,OM451122.1,0,0
CRR711160,all mapped reads,OM451123.1,0,0
CRR711160,all mapped reads,MT114540.1,0,0
CRR711160,all mapped reads,MT114541.1,0,0
CRR710808,mapping quality filtered,OM451122.1,0,0
CRR710808,mapping quality filtered,OM451123.1,0,0
CRR710808,mapping quality filtered,MT114540.1,0,0
CRR710808,mapping quality filtered,MT114541.1,0,0
CRR710808,all mapped reads,OM451122.1,0,0
CRR710808,all mapped reads,OM451123.1,0,0
CRR710808,all mapped reads,MT114540.1,0,0
CRR710808,all mapped reads,MT114541.1,0,0
CRR710809,mapping quality filtered,OM451122.1,0,0
CRR710809,mapping quality filtered,OM451123.1,0,0
CRR710809,mapping quality filtered,MT114540.1,0,0
CRR710809,mapping quality filtered,MT114541.1,0,0
CRR710809,all mapped reads,OM451122.1,0,0
CRR710809,all mapped reads,OM451123.1,0,0
CRR710809,all mapped reads,MT114540.1,0,0
CRR710809,all mapped reads,MT114541.1,0,0
CRR710810,mapping quality filtered,OM451122.1,0,0
CRR710810,mapping quality filtered,OM451123.1,0,0
CRR710810,mapping quality filtered,MT114540.1,0,0
CRR710810,mapping quality filtered,MT114541.1,0,0
CRR710810,all mapped reads,OM451122.1,0,0
CRR710810,all mapped reads,OM451123.1,0,0
CRR710810,all mapped reads,MT114540.1,0,0
CRR710810,all mapped reads,MT114541.1,0,0
CRR710811,mapping quality filtered,OM451122.1,0,0
CRR710811,mapping quality filtered,OM451123.1,0,0
CRR710811,mapping quality filtered,MT114540.1,0,0
CRR710811,mapping quality filtered,MT114541.1,0,0
CRR710811,all mapped reads,OM451122.1,0,0
CRR710811,all mapped reads,OM451123.1,0,0
CRR710811,all mapped reads,MT114540.1,0,0
CRR710811,all mapped reads,MT114541.1,0,0
CRR711161,mapping quality filtered,OM451122.1,0,0
CRR711161,mapping quality filtered,OM451123.1,0,0
CRR711161,mapping quality filtered,MT114540.1,0,0
CRR711161,mapping quality filtered,MT114541.1,0,0
CRR711161,all mapped reads,OM451122.1,0,0
CRR711161,all mapped reads,OM451123.1,0,0
CRR711161,all mapped reads,MT114540.1,0,0
CRR711161,all mapped reads,MT114541.1,0,0
CRR710812,mapping quality filtered,OM451122.1,0,0
CRR710812,mapping quality filtered,OM451123.1,0,0
CRR710812,mapping quality filtered,MT114540.1,0,0
CRR710812,mapping quality filtered,MT114541.1,0,0
CRR710812,all mapped reads,OM451122.1,0,0
CRR710812,all mapped reads,OM451123.1,0,0
CRR710812,all mapped reads,MT114540.1,0,0
CRR710812,all mapped reads,MT114541.1,0,0
CRR710813,mapping quality filtered,OM451122.1,0,0
CRR710813,mapping quality filtered,OM451123.1,0,0
CRR710813,mapping quality filtered,MT114540.1,0,0
CRR710813,mapping quality filtered,MT114541.1,0,0
CRR710813,all mapped reads,OM451122.1,0,0
CRR710813,all mapped reads,OM451123.1,0,0
CRR710813,all mapped reads,MT114540.1,0,0
CRR710813,all mapped reads,MT114541.1,0,0
CRR710814,mapping quality filtered,OM451122.1,0,0
CRR710814,mapping quality filtered,OM451123.1,0,0
CRR710814,mapping quality filtered,MT114540.1,0,0
CRR710814,mapping quality filtered,MT114541.1,0,0
CRR710814,all mapped reads,OM451122.1,0,0
CRR710814,all mapped reads,OM451123.1,0,0
CRR710814,all mapped reads,MT114540.1,0,0
CRR710814,all mapped reads,MT114541.1,0,0
CRR710815,mapping quality filtered,OM451122.1,0,0
CRR710815,mapping quality filtered,OM451123.1,0,0
CRR710815,mapping quality filtered,MT114540.1,0,0
CRR710815,mapping quality filtered,MT114541.1,0,0
CRR710815,all mapped reads,OM451122.1,0,0
CRR710815,all mapped reads,OM451123.1,0,0
CRR710815,all mapped reads,MT114540.1,0,0
CRR710815,all mapped reads,MT114541.1,0,0
CRR710816,mapping quality filtered,OM451122.1,0,0
CRR710816,mapping quality filtered,OM451123.1,0,0
CRR710816,mapping quality filtered,MT114540.1,0,0
CRR710816,mapping quality filtered,MT114541.1,0,0
CRR710816,all mapped reads,OM451122.1,0,0
CRR710816,all mapped reads,OM451123.1,0,0
CRR710816,all mapped reads,MT114540.1,0,0
CRR710816,all mapped reads,MT114541.1,0,0
CRR710817,mapping quality filtered,OM451122.1,0,0
CRR710817,mapping quality filtered,OM451123.1,0,0
CRR710817,mapping quality filtered,MT114540.1,0,0
CRR710817,mapping quality filtered,MT114541.1,0,0
CRR710817,all mapped reads,OM451122.1,0,0
CRR710817,all mapped reads,OM451123.1,0,0
CRR710817,all mapped reads,MT114540.1,0,0
CRR710817,all mapped reads,MT114541.1,0,0
CRR710818,mapping quality filtered,OM451122.1,0,0
CRR710818,mapping quality filtered,OM451123.1,0,0
CRR710818,mapping quality filtered,MT114540.1,0,0
CRR710818,mapping quality filtered,MT114541.1,0,0
CRR710818,all mapped reads,OM451122.1,0,0
CRR710818,all mapped reads,OM451123.1,0,0
CRR710818,all mapped reads,MT114540.1,0,0
CRR710818,all mapped reads,MT114541.1,0,0
CRR710819,mapping quality filtered,OM451122.1,0,0
CRR710819,mapping quality filtered,OM451123.1,0,0
CRR710819,mapping quality filtered,MT114540.1,0,0
CRR710819,mapping quality filtered,MT114541.1,0,0
CRR710819,all mapped reads,OM451122.1,0,0
CRR710819,all mapped reads,OM451123.1,0,0
CRR710819,all mapped reads,MT114540.1,0,0
CRR710819,all mapped reads,MT114541.1,0,0
CRR710820,mapping quality filtered,OM451122.1,0,0
CRR710820,mapping quality filtered,OM451123.1,0,0
CRR710820,mapping quality filtered,MT114540.1,0,0
CRR710820,mapping quality filtered,MT114541.1,0,0
CRR710820,all mapped reads,OM451122.1,0,0
CRR710820,all mapped reads,OM451123.1,0,0
CRR710820,all mapped reads,MT114540.1,0,0
CRR710820,all mapped reads,MT114541.1,0,0
CRR710821,mapping quality filtered,OM451122.1,0,0
CRR710821,mapping quality filtered,OM451123.1,0,0
CRR710821,mapping quality filtered,MT114540.1,0,0
CRR710821,mapping quality filtered,MT114541.1,0,0
CRR710821,all mapped reads,OM451122.1,0,0
CRR710821,all mapped reads,OM451123.1,0,0
CRR710821,all mapped reads,MT114540.1,0,0
CRR710821,all mapped reads,MT114541.1,0,0
CRR710822,mapping quality filtered,OM451122.1,0,0
CRR710822,mapping quality filtered,OM451123.1,0,0
CRR710822,mapping quality filtered,MT114540.1,0,0
CRR710822,mapping quality filtered,MT114541.1,0,0
CRR710822,all mapped reads,OM451122.1,0,0
CRR710822,all mapped reads,OM451123.1,0,0
CRR710822,all mapped reads,MT114540.1,0,0
CRR710822,all mapped reads,MT114541.1,0,0
CRR710823,mapping quality filtered,OM451122.1,0,0
CRR710823,mapping quality filtered,OM451123.1,0,0
CRR710823,mapping quality filtered,MT114540.1,0,0
CRR710823,mapping quality filtered,MT114541.1,0,0
CRR710823,all mapped reads,OM451122.1,0,0
CRR710823,all mapped reads,OM451123.1,0,0
CRR710823,all mapped reads,MT114540.1,0,0
CRR710823,all mapped reads,MT114541.1,0,0
CRR710824,mapping quality filtered,OM451122.1,0,0
CRR710824,mapping quality filtered,OM451123.1,0,0
CRR710824,mapping quality filtered,MT114540.1,1,61
CRR710824,mapping quality filtered,MT114541.1,0,0
CRR710824,all mapped reads,OM451122.1,0,61
